main_command	main_description	command	description
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis=$hello world	alias $dis to the string after '$'
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis=$hello\\nworld\\0a	string aliases accept double-backslash and hex escaping
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis=-	edit $dis in cfg.editor (use single-backslashes for escaping)
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis=af	alias $dis to the af command
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	"""$dis=af;pdf"""	alias $dis to run af, then pdf. you must quote the whole command.
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$test=. /tmp/test.js	create command - rlangpipe script
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis=	undefine alias
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis	execute a defined command alias, or print a data alias with unprintable characters escaped
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis?	show commands aliased by $dis
?v [$.]		flag	offset of flag
?v [$.]		${ev}	get value of eval config variable
?v [$.]		$$	here (current virtual seek)
?v [$.]		$$$	current non-temporary virtual seek
?v [$.]		$?	last comparison value
?v [$.]		$alias=value	alias commands (simple macros)
?v [$.]		$B	base address (aligned lowest map address)
?v [$.]		$b	block size
?v [$.]		$c	get terminal width in character columns
?v [$.]		$Cn	get nth call of function
?v [$.]		$D	current debug map base address ?v $D @ rsp
?v [$.]		$DB	same as dbg.baddr, progam base address
?v [$.]		$DD	current debug map size
?v [$.]		$Dn	get nth data reference in function
?v [$.]		$e	1 if end of block, else 0
?v [$.]		$e{flag}	end of flag (flag->offset + flag->size)
?v [$.]		$f	jump fail address (e.g. jz 0x10 => next instruction)
?v [$.]		$F	same as $FB
?v [$.]		$Fb	begin of basic block
?v [$.]		$FB	begin of function
?v [$.]		$Fe	end of basic block
?v [$.]		$FE	end of function
?v [$.]		$Ff	function false destination
?v [$.]		$Fi	basic block instructions
?v [$.]		$FI	function instructions
?v [$.]		$Fj	function jump destination
?v [$.]		$fl	flag length (size) at current address (fla; pD $l @ entry0)
?v [$.]		$FS	function size (linear length)
?v [$.]		$Fs	size of the current basic block
?v [$.]		$FSS	function size (sum bb sizes)
?v [$.]		$i{n}	address of nth instruction forward
?v [$.]		$I{n}	address of nth instruction backward (s $I1@$Fe) #last instr in bb
?v [$.]		$j	jump address (e.g. jmp 0x10, jz 0x10 => 0x10)
?v [$.]		$Ja	get nth jump of function
?v [$.]		$k{kv}	get value of an sdb query value
?v [$.]		$l	opcode length
?v [$.]		$M	map address (lowest map address)
?v [$.]		$m	opcode memory reference (e.g. mov eax,[0x10] => 0x10)
?v [$.]		$MM	map size (lowest map address)
?v [$.]		$O	cursor here (current offset pointed by the cursor)
?v [$.]		$o	here (current disk io offset)
?v [$.]		$p	getpid()
?v [$.]		$P	pid of children (only in debug)
?v [$.]		$r	get console height (in rows, see $c for columns)
?v [$.]		$r{reg}	get value of named register ($r{PC} and $r:PC syntax is supported)
?v [$.]		$s	file size
?v [$.]		$S	section offset
?v [$.]		$SS	section size
?v [$.]		$s{flag}	get size of flag
?v [$.]		$v	opcode immediate value (e.g. lui a0,0x8010 => 0x8010)
?v [$.]		$w	get word size, 4 if asm.bits=32, 8 if 64, ...
?v [$.]		$Xn	get nth xref of function
?v [$.]		RNum	$variables usable in math expressions
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	%var=value	alias for 'env' command
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	"""[?][""..|..""]"	quote to not evaluate special chars
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	'[...]	run a command without evaluating any special chars (see ?')
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	*[?] off[=[0x]value]	pointer read/write data/values (see ?v, wx, wv)
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	(macro arg0 arg1)	manage scripting macros
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	.[?] [-|(m)|f|!sh|cmd]	Define macro or load r2, cparse or rlang file
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	,[?] [/jhr]	create and query or filter a table with data from file
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	:cmd	run an io command (same as =!)
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	-[?]	open editor and run the r2 commands in the saved document
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	_[?]	Print last output
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	=[?] [cmd]	submit or listen to remote commands
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	<[str]	feed stdin with given escaped string
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	/[?]	search for bytes, regexps, patterns, ..
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	![?] [cmd]	run given command as in system(3)
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	#[?] !lang [..]	Hashbang to run an rlang script
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	{[?] ...}	run a command using the json syntax for r2pipe2
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	a[?]	analysis commands
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	b[?]	display or change the block size
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	c[?] [arg]	compare block with given data
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	C[?]	code metadata (comments, format, hints, ..)
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	d[?]	debugger commands
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	e[?] [a[=b]]	list/get/set config evaluable vars
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	f[?] [name][sz][at]	add flag at current address
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	g[?] [arg]	generate shellcodes with r_egg
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	i[?] [file]	get info about opened file from r_bin
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	k[?] [query]	evaluate an sdb query
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	l[?] [filepattern]	list files and directories
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	L[?] [-] [plugin]	list, unload load r2 plugins
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	m[?]	mount filesystems and inspect its contents
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	o[?] [file] ([addr])	open file at optional address
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	p[?] [len]	print current block with format and length
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	P[?]	project management utilities
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	q[?] [ret]	quit program with a return value
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	r[?] [len]	resize file
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	s[?] [addr]	seek to given address
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	t[?]	types, noreturn, signatures, C parser and more
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	T[?] [-] [num|msg]	text log utility (used to chat, sync, log, ...)
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	u[?]	uname/undo seek/write
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	v	panels mode
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	V	visual mode (Vv: func/var, VV: graph mode, ...)
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	w[?] [str]	multiple write operations
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	x[?] [len]	alias for 'px' (print hexadecimal)
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	y[?] [len] [[[@]addr	yank/paste bytes from/to memory
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	z[?]	zignatures management
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	?[??][expr]	help or evaluate math expression
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	?$?	show available '$' variables and aliases
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	?@?	"misc help for '@' (seek), '~' (grep) (see ~?""""?)"
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	?>?	output redirection
[.][times][cmd][~grep][@[@iter]addr!size][|>pipe] ; ...	Prefix with number to repeat command N times (f.ex: 3x)	?|?	help for '|' (pipe)
"""[""..|..""]"	quote the command to avoid evaluating special characters y;x)	"""?"	show this help, NOTE that a single quote is simpler and works the same
"""[""..|..""]"	quote the command to avoid evaluating special characters y;x)	"""?e hello \""world\"""""	"print (hello ""world"")"
"""[""..|..""]"	quote the command to avoid evaluating special characters y;x)	"""?e x;y"";""?e y;x"""	run two commands (prints x;y
"""[""..|..""]"	quote the command to avoid evaluating special characters y;x)	"""""[cmd]"	directly call a command ignoring all special chars (fast)
"""[""..|..""]"	quote the command to avoid evaluating special characters y;x)	"""""@addr""""[cmd]"	call a command with a temporal seek (EXPERIMENTAL)
"""[""..|..""]"	quote the command to avoid evaluating special characters y;x)	"""""?e x;y"";""?e y;x"	"run two commands ignoring special chars (prints x;y"";""?e y;x)"
*<addr>[=[0x]value]	Pointer read/write data/values	*entry0=cc	write trap in entrypoint
*<addr>[=[0x]value]	Pointer read/write data/values	*entry0+10=0x804800	write value in delta address
*<addr>[=[0x]value]	Pointer read/write data/values	*entry0	read byte at given address
*<addr>[=[0x]value]	Pointer read/write data/values	*/	end multiline comment. (use '/*' to start mulitiline comment
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.	repeat last command backward
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.C*	run 'C*' command and interpret the printed commands
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	..123	alias for s..123 (notice the lack of space)
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.. [file]	run the output of the execution of a script as r2 commands
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	...	repeat last command forward (same as \n)
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.--	terminate tcp server for remote commands
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	. foo.r2	interpret script
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	. foo.py	also works for running r2pipe and rlang scripts
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.-	open cfg.editor and interpret tmp file
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.* file ...	same as #!pipe open cfg.editor and interpret tmp file
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.!rabin -ri $FILE	interpret output of command
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	.(foo 1 2 3)	run macro 'foo' with args 1, 2, 3
.[r2cmd] | [file] | [!command] | [(macro)]	# define macro or interpret r2, r_lang, cparse, d, es6, exe, go, js, lsp, pl, py, rb, sh, vala or zig file	./ ELF	interpret output of command /m ELF as r. commands
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,	display table
